,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
b4476,1488.53182515872,5.10017651167753,0.333345391401439,15.2999760705722,7.64847472875177e-53,1.01457017276892e-50
b3437,1474.52747394094,4.82631000688353,0.403514919927361,11.9606729975495,5.70972794449876e-33,1.29469301168848e-31
b1821,202.147834588653,4.64735011495321,0.383798091062547,12.1088411411505,9.48243793349377e-34,2.24615248549634e-32
b0990,1787.55394866451,4.54658332338074,0.410316801172988,11.0806657450615,1.55710413188613e-28,2.40174259412436e-27
b2169,291.824751548042,4.32201952369634,0.306947373468339,14.0806532235799,4.99459735104596e-45,3.08155041216859e-43
b1101,3961.52940536091,4.31083771861722,0.380647695502979,11.3250067438895,9.86712786422794e-30,1.7336086240925e-28
b3552,1439.4558294518,4.07909863934557,0.39283486292842,10.3837490617243,2.93998056556606e-25,3.36196915536498e-24
b3556,14737.5020654241,3.85245326294879,0.312214993672555,12.3391039540822,5.57731131652996e-35,1.43656377890815e-33
b2069,575.172508491832,3.79443615303594,0.299191477805806,12.6823002475317,7.41241600083266e-37,2.19616332463085e-35
b3260,15968.6019523602,3.74769454525507,0.231035986275346,16.2212588855686,3.56805844067396e-59,1.1832573803885e-56
b2533,4162.35602927068,3.63338566934372,0.192949276713933,18.8307814946131,4.22479956484188e-79,1.12083932455255e-75
b2678,591.059228367263,3.53547072975696,0.585575379652421,6.03760139617806,1.56421873273383e-09,5.00587731959331e-09
b2168,388.034217284272,3.5312915154435,0.252333459331905,13.9945432714044,1.68307442846092e-44,9.92265879712625e-43
b2250,302.811341316504,3.46120194015029,0.319281012386062,10.8406131460305,2.20984966667676e-27,2.9760056678647e-26
b0835,2498.35699434653,3.45265561192594,0.234822649270499,14.7032478453504,6.14407279900928e-49,6.26931735991216e-47
b0797,1057.34239586018,3.4448002803173,0.249779214361627,13.7913808765928,2.87209117067589e-43,1.49405056388297e-41
b4155,708.090508855782,3.38369532561971,0.239603257671579,14.1220756282776,2.77690146683981e-45,1.75407609322048e-43
b3162,8749.15430519652,3.37141398612968,0.215112185773047,15.6728172976991,2.3206086239566e-55,4.10438311957125e-53
b2845,591.583138490832,3.26987452598895,0.238365329090163,13.7179116546438,7.93172030571598e-43,4.04670268674317e-41
b2679,1702.47594504679,3.20599851920818,0.570890939653126,5.61578104770089,1.95676316954987e-08,5.6122083122333e-08
b0405,1609.24273960122,3.14617378057094,0.289391853848061,10.8716736104907,1.57288757297639e-27,2.15096429438473e-26
b3084,526.713860118448,3.14257516716324,0.240140409346102,13.0864071387253,3.93799185612073e-39,1.43116334168333e-37
b3184,1388.1076742638,3.11337308473066,0.187616243689651,16.5943685019123,7.65446385997447e-62,5.07682315512806e-59
b2167,1378.67918162999,3.09480427213402,0.283837842297132,10.9034237545192,1.11000327564941e-27,1.55811570915232e-26
b2796,1542.73518688534,3.08435312395154,0.3233007392448,9.54019817942977,1.42559624158242e-21,1.20066883457719e-20
b2141,450.122602815952,3.06783519466425,0.36788032235941,8.33922068728388,7.47817332843016e-17,4.41861778180962e-16
b2562,488.683604614084,2.9879955545679,0.295567954813563,10.1093352845123,5.02238707034737e-24,5.20484097563733e-23
b3654,287.73301942821,2.97204443245097,0.273880269837712,10.8516193379394,1.95923061932805e-27,2.65195858830475e-26
b1074,95.3285371934341,2.96237692092994,0.775491571979995,3.81999886003449,0.000133452290843683,0.000251098530218646
b3985,58185.8424413903,2.86966420961071,0.216472797759076,13.2564656590456,4.13949756795208e-40,1.71595110121514e-38
b3316,10380.3947455922,2.85458644636987,0.249935785669105,11.4212794247444,3.27378554873321e-30,5.94887195944466e-29
b2945,288.518704243703,2.84698091954959,0.211849578100144,13.4386905325995,3.58728422348493e-41,1.6408732836044e-39
b3261,1521.17934327225,2.84239097970967,0.261118942455346,10.8854262083868,1.3526439333582e-27,1.86904393499964e-26
b1086,1555.83711071936,2.83725124633247,0.269897573142119,10.5123258920097,7.5800656129655e-26,9.14087003236248e-25
